"site","lat","long"
"06385",41.35630416,-72.15567185
"06334",41.54428663,-72.17441779
"06029",41.91504092,-72.44953495
"06071",41.99459749,-72.45237254
"06279",41.88953936,-72.25956647
"06373",41.67044409,-71.79932607
"06263",41.84036132,-71.90624857
"06604",41.16913868,-73.2002217
"06804",41.46740369,-73.39244607
"06825",41.19716917,-73.24249739
"06907",41.10090605,-73.52037138
"06615",41.16907712,-73.13304939
"06880",41.1337014,-73.34976026
"06840",41.1591954,-73.4993837
"06117",41.78688202,-72.76225227
"06106",41.74869517,-72.69512968
"06112",41.79308752,-72.69673217
"06489",41.61324941,-72.87275771
"06016",41.90418419,-72.54461192
"06093",42.00293763,-72.72446687
"06479",41.57697162,-72.90479084
"06092",41.87337354,-72.85933927
"06467",41.56783046,-72.89998306
"06065",41.97395392,-73.00429075
"06067",41.65717696,-72.66341599
"06777",41.69285808,-73.33998522
"06793",41.62954864,-73.28865214
"06423",41.46707992,-72.38820574
"06460",41.21380921,-73.05099961
"06706",41.5324708,-73.02430461
"06492",41.45911262,-72.80491298
"06477",41.28268103,-73.02739323
"06514",41.37348271,-72.94138098
"06517",41.34825384,-72.90524195
"06450",41.53301406,-72.77410464
"06762",41.52768991,-73.1233139
"06437",41.33204378,-72.70055746
"06375",41.40511332,-72.12513282
"06335",41.4311484,-72.06184924
"06376",41.29404575,-72.25417641
"06226",41.7084233,-72.2075617
"06231",41.62543789,-72.37057769
"06043",41.7664649,-72.4392303
"06277",41.96883352,-71.839905
"06235",41.79291463,-72.12777576
"06897",41.20700911,-73.44025495
"06605",41.1619502,-73.21853692
"06831",41.08777975,-73.661171
"06903",41.13554402,-73.57240199
"06901",41.05359197,-73.53836656
"06850",41.12651381,-73.44336632
"06484",41.30597029,-73.13850239
"06614",41.23009449,-73.12812527
"06010",41.68113232,-72.94093499
"06091",42.01278767,-72.97482582
"06035",41.96056931,-72.80117038
"06447",41.63305119,-72.45492012
"06444",41.56266696,-72.93349602
"06002",41.84252379,-72.74084818
"06110",41.73266911,-72.73382634
"06026",41.94267394,-72.74256919
"06451",41.54202266,-72.82369526
"06020",41.83459084,-72.9290611
"06791",41.7550674,-73.05861914
"06059",41.9490453,-72.94499996
"06750",41.72317188,-73.26438335
"06057",41.84407221,-73.00645312
"06018",42.02645483,-73.30897892
"06469",41.50869624,-72.44770503
"06415",41.55742206,-72.34756566
"06457",41.54762121,-72.65510269
"06441",41.46499685,-72.57762127
"06455",41.51498869,-72.71741821
