Zip Code,City,County,
6502,New Haven,New Haven,
6503,New Haven,New Haven,
6504,New Haven,New Haven,
6505,New Haven,New Haven,
6506,New Haven,New Haven,
6507,New Haven,New Haven,
6508,New Haven,New Haven,
6509,New Haven,New Haven,
6510,New Haven,New Haven,
6511,New Haven,New Haven,
6512,East Haven,New Haven,
6513,New Haven,New Haven,
6514,Hamden,New Haven,
6515,New Haven,New Haven,
6516,West Haven,New Haven,
6517,Hamden,New Haven,
6518,Hamden,New Haven,
6519,New Haven,New Haven,
6520,New Haven,New Haven,
6521,New Haven,New Haven,
6524,Bethany,New Haven,
6525,Woodbridge,New Haven,
6530,New Haven,New Haven,
6531,New Haven,New Haven,
6532,New Haven,New Haven,
6533,New Haven,New Haven,
6534,New Haven,New Haven,
6535,New Haven,New Haven,
6536,New Haven,New Haven,
6537,New Haven,New Haven,
6538,New Haven,New Haven,
6540,New Haven,New Haven,
6601,Bridgeport,Fairfield,
6602,Bridgeport,Fairfield,
6604,Bridgeport,Fairfield,
6605,Bridgeport,Fairfield,
6606,Bridgeport,Fairfield,
6607,Bridgeport,Fairfield,
6608,Bridgeport,Fairfield,
6610,Bridgeport,Fairfield,
6611,Trumbull,Fairfield,
6612,Easton,Fairfield,
6614,Stratford,Fairfield,
6615,Stratford,Fairfield,
6650,Bridgeport,Fairfield,
6673,Bridgeport,Fairfield,
6699,Bridgeport,Fairfield,
6701,Waterbury,New Haven,
6702,Waterbury,New Haven,
6703,Waterbury,New Haven,
6704,Waterbury,New Haven,
6705,Waterbury,New Haven,
6706,Waterbury,New Haven,
6708,Waterbury,New Haven,
6710,Waterbury,New Haven,
6712,Prospect,New Haven,
6716,Wolcott,New Haven,
6720,Waterbury,New Haven,
6721,Waterbury,New Haven,
6722,Waterbury,New Haven,
6723,Waterbury,New Haven,
6724,Waterbury,New Haven,
6725,Waterbury,New Haven,
6726,Waterbury,New Haven,
6749,Waterbury,New Haven,
6750,Bantam,Litchfield,
6751,Bethlehem,Litchfield,
