"","diff","t"
"1",0.0821023096754306,1
"2",-0.12068811372625,2
"3",0.17624300835203,3
"4",-0.0360656988708314,4
"5",0.183481373765078,5
"6",0.0960760156896927,6
"7",-0.129554898724877,7
"8",-0.257005023064194,8
"9",0.142414796231069,9
"10",-0.0401701420041825,10
"11",0.0315551664028818,11
"12",-0.122020548065538,12
"13",0.0212067606016667,13
"14",0.202133133693709,14
"15",0.126658384723739,15
"16",-0.221118373154942,16
"17",-0.01044122799945,17
"18",-0.109847232530338,18
"19",-0.00063068475117467,19
"20",0.128065682625042,20
"21",0.0830584441088485,21
"22",-0.120841615316589,22
"23",-0.0837380710708963,23
"24",0.021670753996078,24
"25",0.0206923496622747,25
"26",-0.239011187795622,26
"27",-0.239863045062582,27
"28",0.0802703921192196,28
"29",0.0725732708391484,29
"30",-0.267290575632206,30
"31",-0.075118815179364,31
"32",0.318220368076011,32
"33",-0.252155172449613,33
"34",-0.136455876755025,34
"35",-0.259347301579415,35
"36",-0.117999725585977,36
"37",0.0827793256668636,37
"38",0.0115080360196335,38
"39",-0.353795723214129,39
"40",0.0710404247407975,40
"41",0.128399383243862,41
"42",0.0595171974364988,42
"43",0.0224290766369553,43
"44",0.122326041351677,44
"45",-0.131638728629104,45
"46",0.0996058229502965,46
"47",-0.10026077313649,47
"48",0.0433995207865108,48
"49",-0.0610012069013746,49
"50",-0.292310735762646,50
"51",-0.0284881063187138,51
"52",0.0561446100820654,52
"53",-0.0752354375462495,53
"54",0.146604384844738,54
"55",0.156951409942171,55
"56",0.137984081640478,56
"57",-0.204663729955648,57
"58",-0.119128980499166,58
"59",-0.045819235683145,59
"60",0.0704980489550848,60
"61",0.0460306510713036,61
"62",-0.09399851855563,62
"63",0.10176328075374,63
"64",0.100432294251568,64
"65",0.134991876364949,65
"66",-0.0619735787660495,66
"67",-0.237372077441248,67
"68",-0.125484324366676,68
"69",0.0379229767671801,69
"70",-0.000545030753085624,70
"71",0.122272658981218,71
"72",0.191558499274754,72
"73",0.0667340769451856,73
"74",0.168688128846503,74
"75",0.0826145296067771,75
"76",0.0920404495913646,76
"77",0.0287506480338444,77
"78",-0.0296514575927593,78
"79",0.285845351144828,79
"80",0.0231929536509734,80
"81",-0.0312931020391798,81
"82",-0.0452023865128587,82
"83",-0.186317068318981,83
"84",0.128068884040791,84
"85",0.278124183761334,85
"86",-0.132253989054744,86
"87",0.0121663509622866,87
"88",0.0344404219263933,88
"89",0.198403796734294,89
"90",0.105527048836647,90
"91",-0.0881801451571398,91
"92",0.237966847121427,92
"93",0.114678182149643,93
"94",0.0284119012157315,94
"95",0.0383991096153265,95
"96",0.0916448212380251,96
"97",0.0187236309575116,97
"98",0.0821913176769585,98
"99",-0.124415791924055,99
"100",-0.102376034113377,100
"101",0.0172414442733176,101
"102",-0.0594584154576041,102
"103",-0.0237489408050381,103
"104",-0.101334636953698,104
"105",-0.118518625843615,105
"106",0.143607612666785,106
"107",0.221045745741491,107
"108",0.0975326007871403,108
"109",-0.0849595009021713,109
"110",-0.0918689716655937,110
"111",0.0317237000451699,111
"112",-0.039985111791542,112
"113",-0.0914902900494959,113
"114",0.0221972686334873,114
"115",0.107207676197209,115
"116",-0.116743610485227,116
"117",-0.146181171847264,117
"118",-0.00501075382526212,118
"119",0.119081821561059,119
"120",-2.45211028434833e-05,120
"121",0.00484947540009804,121
"122",0.0872438961305488,122
"123",-0.0204994187087941,123
"124",0.110444490525443,124
"125",-0.0772241530064514,125
"126",-0.13981795693,126
"127",-0.234106021242126,127
"128",-0.229277711720679,128
"129",0.0753137784017344,129
"130",-0.0173637591355141,130
"131",0.0594553150397694,131
"132",0.277675191466036,132
"133",0.215828265374787,133
"134",0.0708952970687888,134
"135",0.137791460837523,135
"136",0.0528753948264293,136
"137",0.234123241148033,137
"138",0.0510890680938974,138
"139",-0.00171033199077681,139
"140",-0.012919421527266,140
"141",0.0587430585056541,141
"142",0.166446718686509,142
"143",0.10909488574127,143
"144",-0.0645513045894831,144
"145",0.198902107981115,145
"146",-0.0614796268217556,146
"147",0.130100881013341,147
"148",0.0186494864519141,148
"149",0.0959530510701658,149
"150",-0.17906583933597,150
"151",-0.0776552623725043,151
"152",-0.0719982719674592,152
"153",0.0838643872853487,153
"154",-0.233122467664489,154
"155",-0.115532533522548,155
"156",-0.165773094944806,156
"157",-0.174595057238358,157
"158",-0.0358196275400798,158
"159",0.259015430214336,159
"160",0.174304776645445,160
"161",-0.272113009045185,161
"162",0.133423010364368,162
"163",0.0368071688166368,163
"164",0.0778567177982186,164
"165",-0.0478348011312826,165
"166",0.0261632639697628,166
"167",0.00946989354958484,167
"168",0.122820421091884,168
"169",-0.0997732080807109,169
"170",0.202644087834031,170
"171",0.00416697481855917,171
"172",-0.148446467990822,172
"173",0.0489580759904873,173
"174",-0.108983840605584,174
"175",-0.123828126749497,175
"176",0.095442867180133,176
"177",0.0117009985011057,177
"178",0.0525516240501664,178
"179",0.00790470227521866,179
"180",-0.0669616668971604,180
"181",-0.00966805343375135,181
"182",0.0573395145617436,182
"183",-0.166378454181741,183
"184",-0.17127372378405,184
"185",0.0528961706523863,185
"186",-0.0200349167081464,186
"187",-0.134815823534664,187
"188",-0.0260994571264595,188
"189",0.0181929910225679,189
"190",-0.12733247826433,190
"191",-0.0585975332287411,191
"192",0.00508820721662367,192
"193",0.0293212250428185,193
"194",-0.189653116967348,194
"195",-0.198837392603472,195
"196",-0.153243579958283,196
"197",-0.0929652169578424,197
"198",-0.0892539866965419,198
"199",0.0127661215549522,199
