"","diff","t"
"1",0.432441395422204,1
"2",-0.141164921994404,2
"3",0.18808683261378,3
"4",0.137778072162779,4
"5",-0.0263106196238209,5
"6",-0.0331330189009583,6
"7",-0.0140290392636202,7
"8",-0.187710579604347,8
"9",-0.176282795129508,9
"10",0.0921278585443682,10
"11",-0.146037978077045,11
"12",-0.00319474647496622,12
"13",-0.0830871028676064,13
"14",-0.21195316018565,14
"15",0.174779207794507,15
"16",0.0761446028270751,16
"17",0.124025993019524,17
"18",0.109342838218762,18
"19",-0.0426747060306318,19
"20",-0.0655409900764917,20
"21",-0.229252160391495,21
"22",0.197678875236112,22
"23",-0.250447820612979,23
"24",-0.300689179503279,24
"25",0.150379311581526,25
"26",-0.384865534672869,26
"27",0.065173169994199,27
"28",-0.0989256429307606,28
"29",-0.136021448911192,29
"30",0.136269069774763,30
"31",-0.307648913130055,31
"32",-0.0930167027981254,32
"33",-0.163985661208036,33
"34",0.0855003119424738,34
"35",0.0232802999071506,35
"36",-0.10679693462795,36
"37",0.0780982380197187,37
"38",0.109720847223876,38
"39",-0.109555801143513,39
"40",0.17626373014246,40
"41",-0.121336437866086,41
"42",0.103974852745295,42
"43",0.0337468949563295,43
"44",0.137327847968716,44
"45",-0.0386609667754395,45
"46",-0.00167002931624086,46
"47",0.107441905507799,47
"48",0.149948527019764,48
"49",0.048715273855115,49
"50",-0.0748484488214436,50
"51",-0.0437798233357961,51
"52",0.000510457054893776,52
"53",-0.426323801836796,53
"54",0.13486097137003,54
"55",0.00936527889803873,55
"56",0.0707024527908972,56
"57",0.259183170797789,57
"58",0.153662023387472,58
"59",0.132053898004151,59
"60",0.0367679197759817,60
"61",0.0828736756809198,61
"62",-0.0193074542967129,62
"63",-0.20221663489161,63
"64",0.0251345211902619,64
"65",-0.127162901105674,65
"66",-0.0714644350074851,66
"67",-0.161349067307871,67
"68",-0.139495179890857,68
"69",-0.0210515557461428,69
"70",-0.111419349350242,70
"71",-0.0433253582679462,71
"72",-0.0303659665567336,72
"73",0.128691073575385,73
"74",-0.19807884218678,74
"75",0.048866875024288,75
"76",0.055770106109583,76
"77",-0.0432138185160655,77
"78",0.0728099460629013,78
"79",-0.0898693295671677,79
"80",-0.0584749307930226,80
"81",0.0382626958107182,81
"82",-0.230737206076932,82
"83",0.00610849794230705,83
"84",0.00747529345970616,84
"85",0.149869979123756,85
"86",0.0652295831050773,86
"87",-0.151890023595592,87
"88",-0.135303178360425,88
"89",-0.0528493065455961,89
"90",0.281262663435363,90
"91",0.0357768442297726,91
"92",-0.134438341253629,92
"93",0.0840062205099845,93
"94",-0.219640892714576,94
"95",0.135747580217229,95
"96",0.0278190340965169,96
"97",-0.0281260494047128,97
"98",0.122777295257842,98
"99",0.0276358900994762,99
"100",-0.289630161845707,100
"101",0.00592052669315966,101
"102",0.0617496352271834,102
"103",-0.0754432190746634,103
"104",-0.00420326466424712,104
"105",-0.107820465059076,105
"106",0.0889553356965551,106
"107",0.097540062049211,107
"108",-0.0845183924746956,108
"109",-0.29853825045064,109
"110",-0.157166818226807,110
"111",-0.225992881148165,111
"112",-0.413297180241742,112
"113",-0.276993795747821,113
"114",0.0667073693235597,114
"115",0.31964746486971,115
"116",0.327189734553662,116
"117",0.0923538799955853,117
"118",0.0241987605883565,118
"119",0.154452520722676,119
"120",0.211967873841342,120
"121",0.0139018728976345,121
"122",0.0888705948917549,122
"123",0.307590322665161,123
"124",0.042107468935112,124
"125",0.00359781389867591,125
"126",0.260832443520037,126
"127",0.0124537913747826,127
"128",0.217389180225265,128
"129",0.172219809148652,129
"130",-0.16321480427467,130
"131",0.102984052586906,131
"132",0.140725734320313,132
"133",0.0792481081931765,133
"134",0.142147709881775,134
"135",0.231731416438213,135
"136",0.115246580534602,136
"137",0.103313615454253,137
"138",0.15908836212528,138
"139",-0.152291781633641,139
"140",-0.0312398934305953,140
"141",0.1358099104868,141
"142",0.149197042222369,142
"143",0.212180032428543,143
"144",-0.142427196806746,144
"145",-0.250273416937906,145
"146",0.0304813585802229,146
"147",-0.130877679452183,147
"148",-0.182338880177508,148
"149",-0.0360675308657346,149
"150",0.00838504959462848,150
"151",0.00616243696500815,151
"152",0.0225745287483642,152
"153",0.204420255020277,153
"154",-0.181061979358975,154
"155",-0.0885923186871185,155
"156",-0.255383875692459,156
"157",-0.114494161847537,157
"158",0.0816970186877278,158
"159",0.176037471692916,159
"160",0.0623295857016547,160
"161",0.25919482425021,161
"162",0.0313214809950401,162
"163",-0.0498648709518235,163
"164",-0.197369274137409,164
"165",0.058359678492512,165
"166",0.187375459086267,166
"167",0.0336237673484719,167
"168",-0.0548685053393401,168
"169",0.0446574054746537,169
"170",0.178219526826754,170
"171",-0.0505031450224226,171
"172",-0.015751309383624,172
"173",-0.201087202305695,173
"174",-0.11726775433869,174
"175",-0.172199645953626,175
"176",-0.0418428099102741,176
"177",-0.170345716451639,177
"178",-0.19778836887684,178
"179",0.0738547957579011,179
"180",-0.0357466875403333,180
"181",0.0121795644137645,181
"182",0.116822399392323,182
"183",-0.0629323538618904,183
"184",-0.12448768496479,184
"185",0.109256017094389,185
"186",-0.074046342200063,186
"187",-0.014763315476878,187
"188",0.127001903090339,188
"189",0.0568828323052873,189
"190",-0.0419905080620414,190
"191",-0.1165092556757,191
"192",-0.0219618439799293,192
"193",-0.0781652184409868,193
"194",-0.0948312251186051,194
"195",-0.205297568527694,195
"196",-0.015623986715745,196
"197",0.0198984166780583,197
"198",0.109688116783675,198
"199",0.0112976626917304,199
"200",0.0682720772476172,200
