"","id","one","t","diff"
"1",1,1,1,0.0627212956313926
"2",2,1,2,0.173402504650864
"3",3,1,3,0.109634482572061
"4",4,1,4,-0.124229028928169
"5",5,1,5,0.0429281310520202
"6",6,1,6,-0.0236139231689929
"7",7,1,7,-0.120622344716702
"8",8,1,8,-0.232060698785837
"9",9,1,9,-0.0526256154803223
"10",10,1,10,-0.122631481936253
"11",11,1,11,-0.0382525545190247
"12",12,1,12,0.114821498422843
"13",13,1,13,0.174904354799383
"14",14,1,14,0.0734671880890709
"15",15,1,15,-0.0427645917403636
"16",16,1,16,-0.0626263567820533
"17",17,1,17,0.0794810053962615
"18",18,1,18,0.172761143546354
"19",19,1,19,0.0143181262638956
"20",20,1,20,-0.126724192457407
"21",21,1,21,-0.082945429489256
"22",22,1,22,-0.148298378283702
"23",23,1,23,0.0481288114003174
"24",24,1,24,-0.0439695225353786
"25",25,1,25,0.0617836359482388
"26",26,1,26,-0.0261677942818303
"27",27,1,27,0.0690258553616226
"28",28,1,28,-0.0248399871781433
"29",29,1,29,-0.0511520792819189
"30",30,1,30,0.0443461854485841
"31",31,1,31,0.0701566600987013
"32",32,1,32,0.0510338019736276
"33",33,1,33,-0.030658648043976
"34",34,1,34,0.0818045635082058
"35",35,1,35,0.0790782857925061
"36",36,1,36,-0.0774381003357411
"37",37,1,37,-0.0662855423591456
"38",38,1,38,-0.143625983694232
"39",39,1,39,0.0974568839855788
"40",40,1,40,-0.0412916642478467
"41",41,1,41,0.0149177003679771
"42",42,1,42,0.0227494291004338
"43",43,1,43,0.0625232292696219
"44",44,1,44,0.133659629582733
"45",45,1,45,-0.0715425251367993
"46",46,1,46,0.093297016407329
"47",47,1,47,0.0952496903574498
"48",48,1,48,0.0753719857099562
"49",49,1,49,0.154303578187906
"50",50,1,50,-0.0741027932758104
"51",51,1,51,-0.203340124769126
"52",52,1,52,-0.304219517881659
"53",53,1,53,-0.122377768267487
"54",54,1,54,0.0174972648917851
"55",55,1,55,0.112017645742141
"56",56,1,56,-0.0220760909303774
"57",57,1,57,0.0412836544816568
"58",58,1,58,0.11675079340102
"59",59,1,59,0.176530836589385
"60",60,1,60,-0.164137392201325
"61",61,1,61,-0.0691945417196428
"62",62,1,62,-0.072424053151519
"63",63,1,63,-0.0627038157566431
"64",64,1,64,-0.0279322836467828
"65",65,1,65,0.00678311372891891
"66",66,1,66,-0.0247154833960574
"67",67,1,67,0.0138613639392095
"68",68,1,68,-0.203430767358125
"69",69,1,69,-0.0783982930366673
"70",70,1,70,-0.0468835263236352
"71",71,1,71,0.0862860807591525
"72",72,1,72,0.13984480543676
"73",73,1,73,-0.126561783268818
"74",74,1,74,-0.0145171185500509
"75",75,1,75,-0.112027420628023
"76",76,1,76,0.135611103802402
"77",77,1,77,-0.237244971779492
"78",78,1,78,-0.0205508243400013
"79",79,1,79,0.101004549258467
"80",80,1,80,0.0342007286503734
"81",81,1,81,-0.106692088714339
"82",82,1,82,0.00454072397904169
"83",83,1,83,0.144347356921519
"84",84,1,84,-0.00437452546840017
"85",85,1,85,0.149656302293442
"86",86,1,86,0.0874267116326129
"87",87,1,87,0.0375687381818323
"88",88,1,88,-0.155890006674912
"89",89,1,89,-0.161000484463974
"90",90,1,90,-0.0481771697027064
"91",91,1,91,0.0178357535605267
"92",92,1,92,-0.0470620751311729
"93",93,1,93,-0.0593168993564067
"94",94,1,94,0.125925857909245
"95",95,1,95,0.100564353618763
"96",96,1,96,-0.0161529757065245
"97",97,1,97,0.125595068956329
"98",98,1,98,-0.216407869500488
"99",99,1,99,0.0987377070715856
"100",100,1,100,-0.203277849700081
"101",101,1,101,-0.212027677300231
"102",102,1,102,-0.00450885788924594
"103",103,1,103,0.0614592619141277
"104",104,1,104,-0.223153103015311
"105",105,1,105,0.131477096096129
"106",106,1,106,0.0809000434097274
"107",107,1,107,0.195353403068628
"108",108,1,108,-0.205144343893815
"109",109,1,109,-0.0447644364190917
"110",110,1,110,-0.0893400408952212
"111",111,1,111,-0.020422855245227
"112",112,1,112,-0.122387832650185
"113",113,1,113,0.169546810375885
"114",114,1,114,0.195330251302057
"115",115,1,115,0.308642205554779
