"","id","one","t","diff"
"1",1,1,1,0.266937408123159
"2",2,1,2,0.24771482247013
"3",3,1,3,-0.0788920145241394
"4",4,1,4,0.117278584558542
"5",5,1,5,-0.22799957563815
"6",6,1,6,-0.00366483310384431
"7",7,1,7,-0.13472040927628
"8",8,1,8,0.0106912544531472
"9",9,1,9,-0.182610628023069
"10",10,1,10,-0.119656748514867
"11",11,1,11,-0.0434309033278948
"12",12,1,12,0.117072656704253
"13",13,1,13,0.14154327070562
"14",14,1,14,-0.0373088114155109
"15",15,1,15,-0.333399514628606
"16",16,1,16,0.0625223846884415
"17",17,1,17,0.099970632946027
"18",18,1,18,-0.125710552442168
"19",19,1,19,-0.0357106225154622
"20",20,1,20,0.102564678307544
"21",21,1,21,-0.139279584491398
"22",22,1,22,0.0384957371003089
"23",23,1,23,0.045229837299651
"24",24,1,24,0.0102729939194857
"25",25,1,25,-0.143712008664744
"26",26,1,26,0.0508026618809278
"27",27,1,27,-0.00880812059983714
"28",28,1,28,-0.0194083136713038
"29",29,1,29,0.123478295803117
"30",30,1,30,0.0757323738654924
"31",31,1,31,-0.0356113434393826
"32",32,1,32,0.0723220461761561
"33",33,1,33,-0.142465790388146
"34",34,1,34,-0.100703696244358
"35",35,1,35,0.0745099820984558
"36",36,1,36,-0.129041202387623
"37",37,1,37,-0.270847412962463
"38",38,1,38,-0.122822179296444
"39",39,1,39,0.14773105595228
"40",40,1,40,0.119577741446671
"41",41,1,41,-0.0252553770323512
"42",42,1,42,0.0267446678328096
"43",43,1,43,0.0804839234255869
"44",44,1,44,-0.00386730163870297
"45",45,1,45,0.161812696208046
"46",46,1,46,-0.0108926835188584
"47",47,1,47,0.0194442474842475
"48",48,1,48,0.101040847619614
"49",49,1,49,0.174324556392554
"50",50,1,50,-0.162283034240017
"51",51,1,51,-0.249430924217495
"52",52,1,52,-0.325585712748744
"53",53,1,53,-0.0606747584037556
"54",54,1,54,-0.0542993623273756
"55",55,1,55,0.191925560509212
"56",56,1,56,0.0212000305934934
"57",57,1,57,0.250167989106282
"58",58,1,58,-0.0953484981332289
"59",59,1,59,-0.0111966802491422
"60",60,1,60,0.014496669133719
"61",61,1,61,-0.027206274123193
"62",62,1,62,0.0256512009289445
"63",63,1,63,0.0240869398512186
"64",64,1,64,0.11193086114446
"65",65,1,65,0.0415265631436373
"66",66,1,66,-0.18320212596256
"67",67,1,67,-0.0344605448951565
"68",68,1,68,-0.00986544556417762
"69",69,1,69,0.192461061844075
"70",70,1,70,-0.188278390219388
"71",71,1,71,0.210765073025239
"72",72,1,72,0.0381720461683921
"73",73,1,73,0.126470197269308
"74",74,1,74,-0.045842465630418
"75",75,1,75,-0.0437969192968269
"76",76,1,76,0.0304722130083087
"77",77,1,77,0.26303633087137
"78",78,1,78,0.110652516190295
"79",79,1,79,-0.0797758098783405
"80",80,1,80,-0.142465942387937
"81",81,1,81,0.0112054739650073
"82",82,1,82,-0.198943629751683
"83",83,1,83,-0.127825701718675
"84",84,1,84,0.12224519102564
"85",85,1,85,0.0692427113464144
"86",86,1,86,0.0649323160963677
"87",87,1,87,0.0735446972363418
"88",88,1,88,0.226485369869792
"89",89,1,89,-0.0311489408311395
"90",90,1,90,0.0672508108179521
"91",91,1,91,-0.0744752412679472
"92",92,1,92,0.0242351680066664
"93",93,1,93,-0.00983534768333981
"94",94,1,94,-0.0627979531435773
"95",95,1,95,-0.0359233749397652
"96",96,1,96,-0.047801923540438
"97",97,1,97,-0.343591864503876
"98",98,1,98,0.0388104474043203
"99",99,1,99,-0.315448376818092
"100",100,1,100,-0.0234859880526771
"101",101,1,101,-0.00766790546530846
"102",102,1,102,0.0425410485438329
"103",103,1,103,0.140171812004846
"104",104,1,104,-0.214299711544966
"105",105,1,105,0.0276237100641047
"106",106,1,106,0.286128609507609
"107",107,1,107,0.0395833327237392
"108",108,1,108,-0.167627121967501
"109",109,1,109,0.167195436334658
"110",110,1,110,0.114623855428349
"111",111,1,111,-0.237329372499904
"112",112,1,112,-0.149764505782517
"113",113,1,113,-0.00329557397411786
"114",114,1,114,0.00562587844853329
"115",115,1,115,0.161771842208502
