"","id","one","t","diff"
"1",1,1,1,-0.187790649952905
"2",2,1,2,-0.0497764360351108
"3",3,1,3,0.110370687974099
"4",4,1,4,0.084042211033604
"5",5,1,5,0.280786775283722
"6",6,1,6,0.0195389756664701
"7",7,1,7,0.232190844859165
"8",8,1,8,0.0561922577196161
"9",9,1,9,-0.194542086646233
"10",10,1,10,-0.0818503018255224
"11",11,1,11,-0.196463473626872
"12",12,1,12,-0.0512043537121337
"13",13,1,13,-0.0227525219726803
"14",14,1,14,-0.0629300645736502
"15",15,1,15,-0.0817355039775531
"16",16,1,16,0.0138853906573409
"17",17,1,17,-0.0644375383132454
"18",18,1,18,-0.0302186206908374
"19",19,1,19,0.0450437816730689
"20",20,1,20,0.214954357636302
"21",21,1,21,-0.090667163869208
"22",22,1,22,-0.0654272920422629
"23",23,1,23,0.0348912649491653
"24",24,1,24,0.157220727784163
"25",25,1,25,0.0317786740870934
"26",26,1,26,0.0829993349646164
"27",27,1,27,0.228189442187594
"28",28,1,28,-0.14964678301476
"29",29,1,29,-0.0960813066093058
"30",30,1,30,0.00714035851398887
"31",31,1,31,-0.069759216755126
"32",32,1,32,-0.0961796748615426
"33",33,1,33,-0.0968089125143482
"34",34,1,34,0.00634219651723443
"35",35,1,35,-0.0189118139086994
"36",36,1,36,-0.072295088980941
"37",37,1,37,0.00520123873658753
"38",38,1,38,-0.0729096093128324
"39",39,1,39,-0.0730355324994949
"40",40,1,40,0.232130826385002
"41",41,1,41,0.131055040219378
"42",42,1,42,-0.0469167271301414
"43",43,1,43,-0.00706370544927155
"44",44,1,44,-0.020555204642778
"45",45,1,45,0.133324319608937
"46",46,1,46,0.0473489922732936
"47",47,1,47,0.0130273581584101
"48",48,1,48,0.0685639072848836
"49",49,1,49,-0.00864487631318451
"50",50,1,50,-0.0552992619158098
"51",51,1,51,-0.103046844161418
"52",52,1,52,-0.110927425692054
"53",53,1,53,0.136785856678516
"54",54,1,54,-0.0870350026936612
"55",55,1,55,0.178878240200774
"56",56,1,56,0.0522102033390636
"57",57,1,57,-0.0539750312847401
"58",58,1,58,-0.151349171162349
"59",59,1,59,0.0278485047583491
"60",60,1,60,0.0190957447709928
"61",61,1,61,0.0369038858963546
"62",62,1,62,-0.0182036158706471
"63",63,1,63,0.0980992299408595
"64",64,1,64,0.0496216011737698
"65",65,1,65,0.0223822100274203
"66",66,1,66,-0.00425779665887836
"67",67,1,67,0.125105413468281
"68",68,1,68,-0.0330925985607423
"69",69,1,69,-0.066910573396448
"70",70,1,70,-0.0345435133875595
"71",71,1,71,0.0647890515740774
"72",72,1,72,0.0875693651504788
"73",73,1,73,-0.0435308107824873
"74",74,1,74,0.00653208014664851
"75",75,1,75,0.0298582151116714
"76",76,1,76,0.00251977258749775
"77",77,1,77,0.0764675373346359
"78",78,1,78,-0.0252462527219516
"79",79,1,79,-0.049879469621296
"80",80,1,80,0.127171536054706
"81",81,1,81,0.00247999477882219
"82",82,1,82,0.0262779333289857
"83",83,1,83,-0.127711010481213
"84",84,1,84,-0.0243582772659685
"85",85,1,85,0.10168862143302
"86",86,1,86,0.0760072738715844
"87",87,1,87,0.0270001448947608
"88",88,1,88,-0.0245001412893858
"89",89,1,89,-0.0252538719874226
"90",90,1,90,0.0250042447858258
"91",91,1,91,0.196160333497445
"92",92,1,92,-0.0734626142269698
"93",93,1,93,0.0752172109356614
"94",94,1,94,-0.0530990453909885
"95",95,1,95,0.126478918593102
"96",96,1,96,-0.153616163604389
"97",97,1,97,-0.0101982761047145
"98",98,1,98,-0.0597082483781721
"99",99,1,99,-0.12055399270136
"100",100,1,100,-0.0731328912266789
"101",101,1,101,0.0548141950330752
"102",102,1,102,0.0697769232893639
"103",103,1,103,0.0515076160457237
"104",104,1,104,-0.0474240074670481
"105",105,1,105,0.164553152095341
"106",106,1,106,-0.0783612601036573
"107",107,1,107,0.0250429131704321
"108",108,1,108,-0.0715630544490539
"109",109,1,109,-0.0799772289371015
"110",110,1,110,-0.0052261444886579
"111",111,1,111,0.00502926362231354
"112",112,1,112,0.202542188833016
"113",113,1,113,0.089949701832447
"114",114,1,114,-0.162820933034121
"115",115,1,115,-0.214757794445064
